iter	Passed	Remaining
1281	59139	33121
1282	59184	33074
1283	59235	33031
1284	59283	32986
1285	59328	32939
1286	59372	32892
1287	59417	32845
1288	59462	32798
1289	59506	32751
1290	59554	32706
1291	59596	32658
1292	59644	32613
1293	59690	32566
1294	59733	32519
1295	59776	32471
1296	59820	32423
1297	59866	32377
1298	59910	32330
1299	59953	32282
1300	60001	32237
1301	60045	32190
1302	60089	32142
1303	60133	32095
1304	60179	32049
1305	60230	32006
1306	60280	31961
1307	60328	31916
1308	60373	31870
1309	60418	31823
1310	60462	31776
1311	60506	31729
1312	60554	31683
1313	60599	31637
1314	60646	31591
1315	60690	31544
1316	60736	31497
1317	60783	31452
1318	60826	31404
1319	60871	31358
1320	60916	31311
1321	60960	31264
1322	61004	31216
1323	61047	31169
1324	61092	31122
1325	61137	31075
1326	61181	31028
1327	61233	30985
1328	61276	30938
1329	61326	30893
1330	61371	30847
1331	61415	30799
1332	61459	30752
1333	61502	30705
1334	61550	30659
1335	61594	30612
1336	61640	30566
1337	61684	30519
1338	61729	30472
1339	61776	30427
1340	61819	30379
1341	61864	30332
1342	61907	30285
1343	61950	30237
1344	61997	30192
1345	62041	30144
1346	62084	30097
1347	62129	30050
1348	62175	30004
1349	62228	29961
1350	62273	29915
1351	62318	29868
1352	62364	29822
1353	62408	29775
1354	62455	29729
1355	62499	29682
1356	62548	29637
1357	62593	29591
1358	62640	29545
1359	62682	29497
1360	62727	29450
1361	62770	29403
1362	62822	29360
1363	62878	29318
1364	62933	29276
1365	62986	29233
1366	63038	29190
1367	63085	29144
1368	63132	29099
1369	63178	29052
1370	63227	29008
1371	63273	28961
1372	63322	28916
1373	63369	28871
1374	63412	28824
1375	63456	28776
1376	63500	28729
1377	63547	28684
1378	63591	28636
1379	63636	28590
1380	63678	28542
1381	63722	28495
1382	63768	28449
1383	63813	28402
1384	63858	28355
1385	63901	28308
1386	63946	28261
1387	63990	28215
1388	64035	28168
1389	64079	28121
1390	64123	28074
1391	64172	28029
1392	64220	27984
1393	64271	27940
1394	64317	27893
1395	64362	27847
1396	64411	27802
1397	64455	27755
1398	64499	27708
1399	64546	27662
1400	64588	27614
1401	64634	27568
1402	64680	27522
1403	64721	27474
1404	64766	27427
1405	64811	27381
1406	64858	27335
1407	64903	27288
1408	64947	27242
1409	64991	27194
1410	65034	27147
1411	65079	27100
1412	65123	27053
1413	65172	27009
1414	65226	26966
1415	65271	26919
1416	65318	26874
1417	65364	26827
1418	65409	26781
1419	65454	26735
1420	65498	26688
1421	65546	26642
1422	65589	26595
1423	65637	26549
1424	65682	26503
1425	65726	26456
1426	65771	26410
1427	65816	26363
1428	65864	26317
1429	65908	26271
1430	65953	26224
1431	65997	26177
1432	66041	26131
1433	66091	26086
1434	66136	26039
1435	66180	25993
1436	66231	25948
1437	66280	25903
1438	66327	25858
1439	66372	25811
1440	66417	25765
1441	66466	25720
1442	66511	25673
1443	66559	25628
1444	66603	25581
1445	66647	25534
1446	66691	25487
1447	66735	25440
1448	66780	25394
1449	66825	25347
1450	66869	25300
1451	66912	25253
1452	66959	25207
1453	67010	25163
1454	67054	25116
1455	67099	25070
1456	67144	25023
1457	67192	24978
1458	67242	24933
1459	67287	24887
1460	67335	24841
1461	67378	24794
1462	67426	24749
1463	67473	24703
1464	67520	24657
1465	67562	24610
1466	67606	24563
1467	67653	24517
1468	67696	24470
1469	67739	24423
1470	67784	24376
1471	67828	24329
1472	67874	24283
1473	67917	24236
1474	67960	24189
1475	68004	24142
1476	68050	24096
1477	68096	24050
1478	68141	24003
1479	68188	23958
1480	68235	23912
1481	68282	23866
1482	68330	23821
1483	68373	23773
1484	68417	23727
1485	68460	23680
1486	68508	23634
1487	68554	23588
1488	68599	23542
1489	68643	23495
1490	68686	23448
1491	68731	23401
1492	68775	23355
1493	68818	23308
1494	68863	23261
1495	68904	23213
1496	68949	23167
1497	68994	23121
1498	69037	23073
1499	69083	23027
1500	69126	22980
1501	69170	22933
1502	69222	22890
1503	69267	22843
1504	69310	22796
1505	69353	22749
1506	69398	22703
1507	69445	22657
1508	69490	22610
1509	69537	22565
1510	69583	22518
1511	69629	22472
1512	69674	22426
1513	69716	22379
1514	69761	22332
1515	69804	22285
1516	69847	22238
1517	69894	22192
1518	69937	22146
1519	69982	22099
1520	70024	22052
1521	70068	22005
1522	70118	21960
1523	70161	21913
1524	70211	21869
1525	70255	21822
1526	70298	21775
1527	70344	21729
1528	70389	21682
1529	70433	21636
1530	70476	21589
1531	70522	21543
1532	70572	21498
1533	70616	21452
1534	70661	21405
1535	70705	21359
1536	70750	21312
1537	70795	21266
1538	70838	21219
1539	70882	21172
1540	70925	21125
1541	70969	21079
1542	71015	21033
1543	71058	20986
1544	71106	20940
1545	71151	20894
1546	71203	20850
1547	71251	20804
1548	71293	20757
1549	71338	20711
1550	71381	20664
1551	71425	20617
1552	71471	20571
1553	71516	20525
1554	71566	20480
1555	71614	20434
1556	71659	20388
1557	71708	20343
1558	71752	20297
1559	71796	20250
1560	71840	20203
1561	71883	20156
1562	71926	20109
